CustomersTargeted,Profit
962,-314211.7246350481
963,-314694.37448920467
964,-315177.0391992993
965,-315659.9718159902
966,-316142.90443268116
967,-316625.91014369496
968,-317109.09735107614
969,-317592.3015551011
970,-318075.5112333416
971,-318558.7244733739
972,-319042.0744153633
973,-319525.531834595
974,-320009.1139909685
975,-320492.8802913155
976,-320976.70410276356
977,-321460.5568338366
978,-321944.48508670786
979,-322428.45422335557
980,-322912.42634929967
981,-323396.63021287567
982,-323880.83407645166
983,-324365.15186628967
984,-324849.4998364962
985,-325333.9736797504
986,-325818.53730346076
987,-326303.13680879265
988,-326787.73631412454
989,-327272.3510780805
990,-327756.9727352808
991,-328241.6539781864
992,-328726.34747848526
993,-329211.05452232604
994,-329695.779473582
995,-330180.61177392583
996,-330665.49768679583
997,-331150.4101648039
998,-331635.3988798085
999,-332120.4375903725
1000,-332605.6219143801
1001,-333090.81227705954
1002,-333576.06478813424
1003,-334061.3923792412
1004,-334546.78594659246
1005,-335032.2936751737
1006,-335517.89771535946
1007,-336003.54576529405
1008,-336489.2740682256
1009,-336975.26310095476
1010,-337461.26757271576
1011,-337947.28229013784
1012,-338433.40720442525
1013,-338919.73564754525
1014,-339406.07531958295
1015,-339892.4620847253
1016,-340378.9142992727
1017,-340865.3937015626
1018,-341352.12597579043
1019,-341838.87190175697
1020,-342325.68671579694
1021,-342812.5652155599
1022,-343299.4618579929
1023,-343786.42356574425
1024,-344273.4119696369
1025,-344760.59091502347
1026,-345247.77502149774
1027,-345734.988836401
1028,-346222.21119661594
1029,-346709.44228813885
1030,-347196.74776684906
1031,-347684.1205118754
1032,-348171.5105515727
1033,-348658.9736958789
1034,-349146.6250178875
1035,-349634.37501782074
1036,-350122.28247838153
1037,-350610.31303883507
1038,-351098.41180828324
1039,-351586.63103952736
1040,-352075.32317132177
1041,-352564.14342876984
1042,-353052.983830206
1043,-353541.8542525268
1044,-354030.7266765177
1045,-354519.6361777659
1046,-355008.55340647
1047,-355497.55463289254
1048,-355986.68919818115
1049,-356475.82503370947
1050,-356965.05815314554
1051,-357454.29291154176
1052,-357943.6040521382
1053,-358432.94434402726
1054,-358922.2853907117
1055,-359411.6342296407
1056,-359901.01363206893
1057,-360390.64993623435
1058,-360880.34747105656
1059,-361370.18115294457
1060,-361860.10556416045
1061,-362350.1637986168
1062,-362840.2772495604
1063,-363330.4053559238
1064,-363820.5631775671
1065,-364310.7500187981
1066,-364801.02615655155
1067,-365291.4210706553
1068,-365781.8536136595
1069,-366272.35113444057
1070,-366762.8801386533
1071,-367253.48398147227
1072,-367744.1247457858
1073,-368234.83152849926
1074,-368725.6125724371
1075,-369216.40302781475
1076,-369707.22093194927
1077,-370198.04772341164
1078,-370688.98383850575
1079,-371179.9404549002
1080,-371670.90834956075
1081,-372162.0470698021
1082,-372653.242996971
1083,-373144.4516484761
1084,-373635.7020219411
1085,-374127.189000683
1086,-374618.92347821256
1087,-375110.6784996404
1088,-375602.44443416706
1089,-376094.3135088084
1090,-376586.3801253328
1091,-377078.4594870653
1092,-377570.5458826473
1093,-378062.6963506062
1094,-378554.8895196269
1095,-379047.11066844274
1096,-379539.37823936355
1097,-380031.7219128864
1098,-380524.0974676634
1099,-381016.48698456155
1100,-381508.9448440962
1101,-382001.45773425786
1102,-382493.97184050136
1103,-382986.52251262736
1104,-383479.12959179824
1105,-383971.7643808414
1106,-384464.40902985865
1107,-384957.08306767105
1108,-385449.83118270006
1109,-385942.6953066774
1110,-386435.5618281378
1111,-386928.49830854597
1112,-387421.4595615491
1113,-387914.4495012203
1114,-388407.48030011536
1115,-388900.62724000216
1116,-389393.8065803469
1117,-389887.0628907326
1118,-390380.32251342695
1119,-390873.6300073802
1120,-391366.95746029785
1121,-391860.3233013613
1122,-392353.7402428801
1123,-392847.18723491684
1124,-393340.67891463765
1125,-393834.18567869463
1126,-394327.69531431387
1127,-394821.3892080129
1128,-395315.1197667335
1129,-395809.0214178156
1130,-396303.00652451644
1131,-396797.0199941099
1132,-397291.09431200975
1133,-397785.1818332029
1134,-398279.3605495
1135,-398773.5580031376
1136,-399267.7560449072
1137,-399762.0079119651
1138,-400256.25977902295
1139,-400750.51412408496
1140,-401244.768469147
1141,-401739.04662901215
1142,-402233.3263020664
1143,-402727.6106285906
1144,-403221.9006749511
1145,-403716.2086584985
1146,-404210.5602979227
1147,-404704.94030723633
1148,-405199.3249435352
1149,-405693.7135873253
1150,-406188.1167079468
1151,-406682.53797026916
1152,-407176.9852203965
1153,-407671.4427833233
1154,-408165.94622129475
1155,-408660.4550974643
1156,-409154.9819149574
1157,-409649.5111180809
1158,-410144.04755770136
1159,-410638.5966541897
1160,-411133.1735277696
1161,-411627.77993435884
1162,-412122.38942146534
1163,-412617.00898776983
1164,-413111.65130001574
1165,-413606.2938559971
1166,-414100.96832556505
1167,-414595.65218396456
1168,-415090.34051040484
1169,-415585.0358940003
1170,-416079.7340276792
1171,-416574.4358965416
1172,-417069.1410885965
1173,-417563.8462806514
1174,-418058.5534118393
1175,-418553.2734438629
1176,-419047.99820423615
1177,-419542.7268016921
1178,-420037.47854421195
1179,-420532.25636841444
1180,-421027.0504362102
1181,-421521.84686942055
1182,-422016.64527019125
1183,-422511.4452124874
1184,-423006.2526000594
1185,-423501.0804764501
1186,-423995.92382250214
1187,-424490.78682582953
1188,-424985.65548936574
1189,-425480.5456724824
1190,-425975.4493251244
1191,-426470.3533382531
1192,-426965.29924023297
1193,-427460.2719606882
1194,-427955.26758435724
1195,-428450.26501063636
1196,-428945.2628528432
1197,-429440.2951579132
1198,-429935.331060141
1199,-430430.368278173
1200,-430925.4223398546
1201,-431420.4937815485
1202,-431915.64275059523
1203,-432410.8167751552
1204,-432906.0093653777
1205,-433401.20574922854
1206,-433896.42262277985
1207,-434391.6444238741
1208,-434886.8683992779
1209,-435382.1369615574
1210,-435877.4292360976
1211,-436372.7426485604
1212,-436868.0634367653
1213,-437363.3953427073
1214,-437858.7975173812
1215,-438354.2273936426
1216,-438849.6666852987
1217,-439345.1221095076
1218,-439840.58150132676
1219,-440336.0584850136
1220,-440831.56403657113
1221,-441327.0827344521
1222,-441822.6126274946
1223,-442318.1919398855
1224,-442813.81357436057
1225,-443309.44996082917
1226,-443805.2337660142
1227,-444301.0421590222
1228,-444796.8916052741
1229,-445292.7470087704
1230,-445788.6136902275
1231,-446284.48668957344
1232,-446780.38775035157
1233,-447276.30715904257
1234,-447772.2388101314
